NHS_NUMBER,DATE_OF_BIRTH,FAMILY_NAME,GIVEN_NAME,OTHER_GIVEN_NAME
9730148260,25/11/1939,WARREN,Lee,
9730148279,10/12/2010,McADAM,Max,James
9730148287,09/12/2020,CREWE,Edmond,Toby
9730148295,18/04/2023,MCHALE,Eugene,Ernest
9730148309,15/04/1989,MALONE,Pete,Norman
9730148317,17/05/2023,BOWLES,Gavin,Rhys
9730148325,31/03/2017,GAHAN,Miles,Leslie
9730148333,25/01/2020,SINKER,Wayne,Jimmy
9730148341,02/06/2018,OATES,Rufus,Giles
9730148368,08/03/2022,DOURAS,Ted,Marvin
9730148376,21/04/2018,PLATT,Derek,James
9730148384,28/06/2023,UPTON,Gary,
9730148392,30/03/2010,PECK,Matt,Graham
9730148406,19/02/2020,SAVVIN,Alan,Cyril
9730148414,28/05/2023,DABNER,Kurt,
9730148422,03/09/2023,AL-HASAN,KALIQ,
9730148430,03/05/2023,MOODY,Frank,Milo
9730148449,19/10/1961,FRANK,Dwayne,Dennis
9730148457,29/10/2023,FRITH,Martin,Daren
9730148465,17/02/2021,LAHAN,BHASKAR,LAKSHMAN
9730148473,31/01/2014,MILNES,Howard,Lucien
9730148481,27/11/2008,McGILL,Hugh,Owen
9730148503,05/06/2018,NELSON,Herman,Felix
9730148511,28/06/2019,HYDE,Gavin,
9730148538,30/12/1981,PACKER,Donald,Josh
9730148546,21/09/2023,GARTON,Victor,
9730148554,29/07/2015,RAMSEY,Hector,Jimmy
9730148562,05/04/2020,KNEALE,Edward,
9730148570,15/11/1988,KEHOE,Gerald,Neil
9730148589,06/06/2021,TALEBI,AHMED,HUDHAIFA
9730148597,21/11/2012,BUNYAN,ANWILL,TRAVION
9730148600,08/08/1960,BISSON,Clive,Gordon
9730148619,09/09/2023,MALLEY,Ivan,
9730148627,26/06/2021,SEDDON,Graham,Dale
9730148635,30/08/1960,HSING,HUI,YAOZU
9730148643,23/07/2021,WEISS,ZADOK,HEBER
9730148651,08/09/2023,TALBOT,Trevor,Walter
9730148678,06/06/2023,SUM,SHEN,SHI
9730148686,14/03/2023,MANTON,James,Edgar
9730148694,04/11/2019,BOWERS,Joel,Ralph
9730148708,07/04/2023,DAVIS,CIYDE,CADWGAWN
9730148716,04/06/1963,POOLEY,Greg,Dennis
9730148724,09/08/1925,HAKHNAZARIAN,HAMZA,RAAJI
9730148732,23/07/2023,DORAN,Roy,Roy
9730148740,26/04/2023,LEEVON,Julius,Chas
9730148759,30/12/2019,HEENEY,Harold,Sean
9730148767,15/11/2022,WILD,Manuel,Basil
9730148775,07/02/1968,HOWSE,Marcus,Lucien
9730148783,12/05/2023,DREW,Bill,
9730148791,06/10/2010,DEAVES,Simon,
9730148805,06/09/2023,DEVLIN,Sven,Edward
9730148813,12/10/2015,BOYD,Otis,Enoch
