NHS_NUMBER,DATE_OF_BIRTH,FAMILY_NAME,GIVEN_NAME,OTHER_GIVEN_NAME
9730153752,19/09/2011,FLING,Dawn,
9730153760,08/01/2003,MANTON,Ruby,Sandra
9730153779,30/10/2021,REGAN,Kathy,Blanch
9730153787,08/10/2020,HAROLD,Rena,Ramona
9730153795,02/08/2023,AL-HARTHI,ADARA,MUNEEFA
9730153809,08/04/2008,MOYES,Milly,Susan
9730153817,07/08/2023,RUDKIN,Haley,Glenda
9730153825,07/04/2017,SELLY,Marian,Janine
9730153833,01/01/2013,McCOAG,Alicia,Sarah
9730153841,04/12/1967,ROSE,Rose,Ettie
9730153868,02/04/2004,MORT,Carlie,
9730153876,02/01/2020,GORE,Kelly,Joni
9730153884,12/07/2023,NAQESH-BANDI,HASNAA,
9730153892,06/05/2023,PHIPPS,Thelma,
9730153906,18/08/2019,GAFNEY,Gladys,
9730153914,13/06/2023,REID,Marie,
9730153922,07/10/2023,FOOT,Cindy,Emily
9730153930,20/03/1929,LEES,Zenia,Ellisa
9730153949,26/08/2007,ARIANI,TAHIRAH,
9730153957,19/02/2013,COBBEY,Marion,Teresa
9730153965,09/09/2023,WINGLE,Blanch,
9730153973,25/07/2010,TEMPLE,Sue,Lara
9730153981,08/09/2023,TUCKER,Lilly,Meryl
9730154007,17/09/2023,ANGUS,Kate,
9730154015,29/05/2006,MAGAN,Holly,Lorna
9730154023,02/07/1996,ISHKANIAN,TAHAANI,KHALEELA
9730154031,02/05/2007,HENON,Serena,
9730154058,08/04/2021,PRATT,Ceri,
9730154066,28/06/2023,GIBB,Doris,Alison
9730154074,09/08/1970,STANCEVICIUS,ALLISON,
9730154082,13/01/2021,FAWKES,Cindy,
9730154090,14/09/1961,LEVY,Tarina,Sybill
9730154104,05/11/2023,FEY,Betty,Amber
9730154112,25/09/1978,PRINCE,Gladys,Lauren
9730154120,03/08/2023,FANNER,Lottie,Brenda
9730154139,28/02/2016,TAFT,Mabel,Ramona
9730154147,02/11/2023,CARTERET,MYFANWY,IORWEN
9730154155,02/03/1948,SOU,LEI,MULAN
9730154163,29/06/2023,SMILEY,Hilda,Alison
9730154171,08/01/2014,ROONEY,Nora,
9730154198,05/02/2020,DONLEY,Kitty,Irma
9730154201,26/09/2023,THIRUNARAYAN,DEVIKA,ANASUYA
9730154228,17/07/1929,EAVES,Betty,
9730154236,27/12/2014,DONALD,Gaynor,
9730154244,16/10/2002,SO,YUBI,
9730154252,14/06/2023,WELLS,Nora,Paula
9730154260,16/04/1976,DENMAN,Enid,
9730154279,07/05/2023,DINGLE,Faye,
9730154287,08/09/2023,BASLEY,Delia,Nora
9730154295,26/02/2008,ROTH,SALOMA,DVORAH
9730154309,18/05/2023,ROBB,Sue,Sophia
9730154317,25/12/2021,FAGAN,Joni,Megan
9730154325,04/08/2005,PRAYAG,PRAMLOCHA,WAHEEDA
9730154333,11/12/2015,BACH,Amanda,Flora
9730154341,07/10/2023,KOLAR,GURMUKH,KAUR
9730154368,17/05/1981,ABLE,TEMIRA,
9730154376,26/04/2008,ROLF,Megan,
9730154384,19/07/2023,BEVAN,Carlie,Pamela
9730154392,24/08/2023,KEMP,Amber,Tena
9730154406,27/11/1944,FONG,MEIXIANG,XIAOLIAN
9730154414,06/10/2008,LLOYD,Zoe,
9730154422,19/08/2023,MORRIS,Sue,Stella
9730154430,03/08/2023,BATTY,Mae,Mikala
9730154449,14/02/1941,GYLES,Tena,Sharon
9730154457,30/03/1959,DURNEY,Jane,
9730154465,11/09/2023,PARRY,ARWYDD,
9730154473,07/04/1963,WILLES,TESSIE,NOVIA
9730154481,05/08/2014,HENLEY,Fiona,
9730154503,04/08/2017,MOONEY,Sheri,
9730154511,16/09/2023,WILD,Abby,Clare
9730154538,24/11/2019,CRUTE,Emmie,Blanch
9730154546,12/10/2021,ROCK,Kari,Lydia
9730154554,25/11/1958,READON,Janice,
9730154562,28/07/2006,KAALKI,AJAY,NANDA
9730154570,28/03/2017,CORNAH,Daphne,
9730154589,08/10/2023,DAWSON,Sheila,Brenda
9730154597,22/01/1960,VESEY,Paula,Esme
9730154600,08/10/2023,KAMALI,SAJAA,SULAMA
9730154619,25/11/2014,FOUND,Elsa,Sheila
9730154627,30/11/2018,ADJEI,LABEEBA,
9730154635,20/09/1963,HOLME,Naomi,Emily
9730154643,25/08/2022,KEELEY,Helene,
9730154651,26/01/2019,HISLOP,Ettie,Joyce
9730154678,21/10/2019,MYLER,Vicki,Sabina
9730154686,14/08/2022,ALAZAWI,ZAINAB,SAALIMA
9730154694,30/10/2023,GINDER,Sarah,Maude
9730154708,10/09/2023,MACK,Rachel,
9730154716,03/07/1941,WALSH,Claire,Amber
9730154724,18/07/2020,RUBENSTEIN,GILALA,NYSSA
9730154732,27/08/2023,FERNS,Moira,
9730154740,07/10/2015,TOPHAM,Jenna,Susie
9730154759,05/06/2023,KINCADD,SEREN,
9730154767,04/11/1991,KINNOY,Sally,
9730154775,09/01/2009,HOAKES,Andrea,Gladys
9730154783,21/05/2023,DIGGLE,Jill,Maude
9730154791,01/01/2013,FOLEY,Meryl,Monica
9730154805,11/12/2020,GOSS,Jenny,Emilia
9730154813,06/03/2023,PENDYALA,VANITA,SAMIKSHA
9730154821,15/03/2015,LUMAS,Alison,
9730154848,19/08/2023,BIRD,Abby,
9730154856,02/11/2023,NAMIKI,MUSFIRA,SAAHIRA
9730154864,29/03/2012,KEVAN,Fiona,Bessie
9730154872,14/12/2016,HOGAN,Kerry,
9730154880,13/11/1997,GRIFFITH,GWENDOLINE,
9730154899,18/06/2023,CAVE,Selena,
9730154902,27/02/2023,CORBY,Maggie,
9730154910,18/10/2017,GANDY,Delia,Mae
9730154929,20/06/2023,BARNES,Jodi,Lilian
9730154937,02/11/2023,JAMES,Betsy,Doris
9730154945,24/09/2023,MUDIE,Gina,Serena
9730154953,23/10/2018,SONGER,STEPHANI,KACEY
9730154961,03/05/2008,DARRAH,Roslyn,Andrea
9730154988,23/01/1954,SEWELL,Rose,
9730154996,09/09/2023,STRONG,Peggy,Minnie
9730155003,19/06/2023,LEYDEN,Sophie,
9730155011,27/06/2023,BANKS,Avril,Nelly
9730155038,12/01/2019,BRYDEN,Glenys,
9730155046,22/08/2018,BOOKER,Glenys,Sylvia
